ћарка;—сылка;÷ена в $;÷ена в UAH;√ород
Jaguar I-Pace 2021S EV400 90kWh AWD;https://auto.ria.com/newauto/auto-jaguar-i-pace-1861572.html;80 936 $;2 214 350 грн;ƒнепр (ƒнепропетровск)
Jaguar I-Pace 2020S EV400 90kWh AWD;https://auto.ria.com/newauto/auto-jaguar-i-pace-1861573.html;80 936 $;2 214 350 грн;ƒнепр (ƒнепропетровск)
Jaguar I-Pace 2020S EV400 90kWh AWD;https://auto.ria.com/newauto/auto-jaguar-i-pace-1858560.html;80 936 $;2 247 850 грн;„убинское
Jaguar F-Pace 2020Prestige 2.0 AT (250 л.с.) AWD;https://auto.ria.com/newauto/auto-jaguar-f-pace-1860420.html;60 521 $;1 672 027 грн;ќдесса
Jaguar XE 2021R-Dynamic S 2.0i AT (250 л.с.) RWD;https://auto.ria.com/newauto/auto-jaguar-xe-1860876.html;55 798 $;1 541 536 грн; иев
Jaguar E-Pace 2021S 2.0D AT (150 л.с.) AWD;https://auto.ria.com/newauto/auto-jaguar-e-pace-1859722.html;59 373 $;1 640 322 грн; иев
Jaguar XF 2021R-Sport 2.0 AT (250 л.с.);https://auto.ria.com/newauto/auto-jaguar-xf-1860721.html;67 733 $;1 871 269 грн;ќдесса
Jaguar XF 2020Portfolio 2.0 AT (250 л.с.);https://auto.ria.com/newauto/auto-jaguar-xf-1859685.html;75 681 $;2 090 868 грн; иев
Jaguar F-Pace 2021S P250 2.0i AT (250 л.с.) AWD;https://auto.ria.com/newauto/auto-jaguar-f-pace-1861544.html;77 578 $;2 154 581 грн;„убинское
Jaguar XE 2020R-Dynamic HSE 2.0i AT (250 л.с.) RWD;https://auto.ria.com/newauto/auto-jaguar-xe-1860432.html;61 536 $;1 709 037 грн;„убинское
Jaguar F-Pace 2021Prestige D200 2.0d AT (204 л.с.) AWD;https://auto.ria.com/newauto/auto-jaguar-f-pace-1857957.html;78 423 $;2 166 627 грн;’арьков
Jaguar F-Pace 2020Pure 2.0D AT (180 л.с.) AWD;https://auto.ria.com/newauto/auto-jaguar-f-pace-1847638.html;57 803 $;1 596 936 грн;’арьков
Jaguar F-Pace 2021Prestige D200 2.0d AT (204 л.с.) AWD;https://auto.ria.com/newauto/auto-jaguar-f-pace-1857765.html;78 423 $;2 166 627 грн;’арьков
Jaguar E-Pace 2020R-Dynamic S 2.0D AT (150 л.с.) AWD;https://auto.ria.com/newauto/auto-jaguar-e-pace-1854049.html;52 850 $;1 460 104 грн;ќдесса
Jaguar I-Pace 2020S EV400 90kWh AWD;https://auto.ria.com/newauto/auto-jaguar-i-pace-1857829.html;74 558 $;2 059 831 грн; иев
Jaguar I-Pace 2020S EV400 90kWh AWD;https://auto.ria.com/newauto/auto-jaguar-i-pace-1854864.html;75 705 $;2 091 536 грн; иев
Jaguar XF 2021Prestige 2.0 AT (250 л.с.);https://auto.ria.com/newauto/auto-jaguar-xf-1860433.html;67 733 $;1 881 148 грн;„убинское
Jaguar I-Pace 2021SE EV400 90kWh AWD;https://auto.ria.com/newauto/auto-jaguar-i-pace-1860566.html;89 332 $;2 467 992 грн; иев
Jaguar F-Pace 2021Prestige D200 2.0d AT (204 л.с.) AWD;https://auto.ria.com/newauto/auto-jaguar-f-pace-1857987.html;75 872 $;2 107 208 грн;„убинское
